Country,A,B,C,D,E,F,G,H,I,J
China,3,96,100,1328474,0.6,42,33,11,21,1.7
India,97,87,90,1151751,1.5,29,24,8,33,2.9
United States of America,43,93,91,302841,1,81,36,17,21,2.1
Indonesia,54,94,97,228864,1.2,49,27,8,28,2.2
Brazil,71,95,93,189323,1.3,85,27,9,28,2.3
Pakistan,24,57,73,160943,1.8,35,21,6,36,3.6
Bangladesh,135,90,87,155991,1.8,25,22,6,35,2.9
Nigeria,126,59,68,144720,2.4,49,18,5,44,5.5
Russia,28,91,91,143221,-0.5,73,37,17,15,1.3
Japan,6,100,100,127953,0,66,43,27,14,1.3
Mexico,94,97,98,105342,1,76,26,9,30,2.3
Philippines,55,92,90,86264,2,63,22,6,36,3.3
Vietnam,25,91,96,86206,1.4,27,25,8,29,2.2
Germany,11,98,98,82641,0,75,42,25,14,1.4
Ethiopia,109,68,74,81021,2.5,16,18,5,44,5.4
Egypt,48,94,98,74166,1.8,43,23,7,33,3
Turkey,51,89,93,73922,1.3,68,27,8,28,2.2
Iran,35,100,91,70270,1.2,67,24,6,28,2
Thailand,70,94,94,63444,0.7,33,33,12,21,1.8
France,8,99,98,61330,0.6,77,39,21,18,1.9
UK,27,99,98,60512,0.4,90,39,22,18,1.8
Italy,7,98,99,58779,0.2,68,42,26,14,1.4
Myanmar,29,100,99,48379,0.9,31,27,8,27,2.1
South Africa,65,88,88,48282,0.7,60,24,7,32,2.7
Korea,2,93,100,48050,0.4,81,36,14,18,1.2
Ukraine,29,90,90,46557,-0.8,68,39,21,14,1.2
Colombia,92,88,89,45558,1.4,73,26,8,30,2.3
